transaction_id,product_ids
TXN80001,"P1346,P1358,P1347"
TXN80002,"P1114,P1089,P1080,P1329"
TXN80003,"P1500,P1063,P1071"
TXN80004,"P1228,P1209,P1193"
TXN80005,"P1454,P1229"
TXN80006,"P1162,P1005"
TXN80007,"P1500,P1079,P1106"
TXN80008,"P1346,P1356,P1373,P1327"
TXN80009,"P1222,P1211,P1184"
TXN80010,"P1168,P1001"
TXN80011,"P1169,P1007"
TXN80012,"P1342,P1355,P1384,P1084"
TXN80013,"P1023,P1015,P1037,P1118"
TXN80014,"P1272,P1027,P1046"
TXN80015,"P1055,P1087,P1107,P1377"
TXN80016,"P1005,P1072,P1237"
TXN80017,"P1054,P1082,P1106"
TXN80018,"P1016,P1076,P1235"
TXN80019,"P1055,P1079,P1107"
TXN80020,"P1049,P1065,P1076,P1132"
TXN80021,"P1049,P1086,P1108,P1177"
TXN80022,"P1050,P1063,P1071"
TXN80023,"P1199,P1175,P1153"
TXN80024,"P1291,P1338,P1496,P1068"
TXN80025,"P1305,P1334"
TXN80026,"P1300,P1330,P1321,P1170"
TXN80027,"P1299,P1338,P1319"
TXN80028,"P1223,P1209,P1190,P1190"
TXN80029,"P1161,P1001"
TXN80030,"P1486,P1210,P1193"
TXN80031,"P1306,P1335,P1191"
TXN80032,"P1005,P1070,P1235,P1489"
TXN80033,"P1299,P1326,P1229"
TXN80034,"P1275,P1026,P1045,P1019"
TXN80035,"P1252,P1020,P1040"
TXN80036,"P1108,P1093,P1082"
TXN80037,"P1484,P1087,P1104"
TXN80038,"P1484,P1066,P1077"
TXN80039,"P1195,P1173"
TXN80040,"P1049,P1084,P1112"
TXN80041,"P1058,P1064,P1069,P1409"
TXN80042,"P1245,P1020,P1042,P1363"
TXN80043,"P1170,P1009"
TXN80044,"P1204,P1174,P1334"
TXN80045,"P1050,P1065,P1076"
TXN80046,"P1345,P1362,P1255"
TXN80047,"P1164,P1012"
TXN80048,"P1250,P1024,P1043"
TXN80049,"P1056,P1082,P1112,P1019"
TXN80050,"P1196,P1180"
TXN80051,"P1021,P1008,P1046"
TXN80052,"P1292,P1329"
TXN80053,"P1056,P1065,P1077,P1060"
TXN80054,"P1484,P1067,P1076"
TXN80055,"P1500,P1081,P1106"
TXN80056,"P1345,P1361"
TXN80057,"P1248,P1020,P1034,P1207"
TXN80058,"P1058,P1065,P1070"
TXN80059,"P1009,P1078,P1238"
TXN80060,"P1052,P1080,P1109"
TXN80061,"P1198,P1180,P1090"
TXN80062,"P1347,P1490,P1378,P1048"
TXN80063,"P1500,P1083,P1104,P1016"
TXN80064,"P1052,P1085,P1109"
TXN80065,"P1004,P1070,P1239,P1192"
TXN80066,"P1299,P1323,P1366"
TXN80067,"P1302,P1337,P1312"
TXN80068,"P1049,P1080,P1099"
TXN80069,"P1009,P1072,P1233,P1138"
TXN80070,"P1292,P1328,P1162"
TXN80071,"P1162,P1005,P1238"
TXN80072,"P1002,P1076,P1234,P1100"
TXN80073,"P1196,P1182"
TXN80074,"P1266,P1023"
TXN80075,"P1200,P1181,P1253"
TXN80076,"P1304,P1327,P1309"
TXN80077,"P1344,P1370,P1383"
TXN80078,"P1001,P1071,P1236"
TXN80079,"P1100,P1097,P1081,P1342"
TXN80080,"P1050,P1081,P1105"
TXN80081,"P1196,P1173,P1342"
TXN80082,"P1225,P1210,P1194,P1139"
TXN80083,"P1109,P1096,P1081"
TXN80084,"P1058,P1087,P1105"
TXN80085,"P1056,P1065,P1071,P1379"
TXN80086,"P1301,P1331,P1313"
TXN80087,"P1206,P1171,P1165"
TXN80088,"P1053,P1085,P1113,P1078"
TXN80089,"P1050,P1061,P1069,P1194"
TXN80090,"P1500,P1067,P1070"
TXN80091,"P1275,P1032,P1045"
TXN80092,"P1343,P1356,P1485,P1155"
TXN80093,"P1246,P1021,P1040"
TXN80094,"P1452,P1227"
TXN80095,"P1101,P1092,P1087,P1074"
TXN80096,"P1494,P1003,P1041,P1212"
TXN80097,"P1057,P1061,P1071,P1046"
TXN80098,"P1306,P1329,P1311"
TXN80099,"P1270,P1019,P1499"
TXN80100,"P1197,P1180"
TXN80101,"P1202,P1172"
TXN80102,"P1014,P1077,P1232"
TXN80103,"P1230,P1212,P1190,P1139"
TXN80104,"P1224,P1207,P1183,P1001"
TXN80105,"P1169,P1001"
TXN80106,"P1266,P1017"
TXN80107,"P1101,P1094,P1081"
TXN80108,"P1019,P1003,P1039"
TXN80109,"P1016,P1070,P1238,P1478"
TXN80110,"P1002,P1078,P1231"
TXN80111,"P1278,P1021,P1044"
TXN80112,"P1200,P1177"
TXN80113,"P1294,P1332,P1235"
TXN80114,"P1104,P1090,P1087,P1130"
TXN80115,"P1271,P1032,P1499,P1061"
TXN80116,"P1104,P1093,P1087,P1043"
TXN80117,"P1165,P1016"
TXN80118,"P1195,P1179"
TXN80119,"P1030,P1015,P1033"
TXN80120,"P1452,P1228"
TXN80121,"P1219,P1207,P1193,P1210"
TXN80122,"P1055,P1084,P1109,P1074"
TXN80123,"P1170,P1009"
TXN80124,"P1227,P1209,P1189"
TXN80125,"P1165,P1004"
TXN80126,"P1162,P1014"
TXN80127,"P1051,P1063,P1077"
TXN80128,"P1106,P1094,P1084"
TXN80129,"P1484,P1079,P1110"
TXN80130,"P1223,P1209,P1192"
TXN80131,"P1165,P1002"
TXN80132,"P1263,P1018"
TXN80133,"P1016,P1069,P1237,P1174"
TXN80134,"P1249,P1031,P1044,P1494"
TXN80135,"P1022,P1005,P1035,P1053"
TXN80136,"P1002,P1070,P1237"
TXN80137,"P1347,P1483,P1374"
TXN80138,"P1057,P1087,P1099,P1217"
TXN80139,"P1107,P1091,P1087,P1418"
TXN80140,"P1052,P1067,P1072"
TXN80141,"P1273,P1023,P1499"
TXN80142,"P1293,P1335"
TXN80143,"P1199,P1174,P1117"
TXN80144,"P1343,P1367,P1380"
TXN80145,"P1500,P1081,P1108,P1348"
TXN80146,"P1161,P1001"
TXN80147,"P1198,P1177"
TXN80148,"P1455,P1224"
TXN80149,"P1489,P1336,P1313"
TXN80150,"P1196,P1175,P1208"
TXN80151,"P1166,P1002"
TXN80152,"P1055,P1083,P1111"
TXN80153,"P1022,P1012,P1044"
TXN80154,"P1053,P1059,P1071,P1330"
TXN80155,"P1230,P1217,P1188"
TXN80156,"P1260,P1022,P1234"
TXN80157,"P1170,P1001"
TXN80158,"P1341,P1370,P1383,P1249"
TXN80159,"P1299,P1332,P1496"
