customer_id,email_open_rate,push_notification_ctr,customer_service_tickets,return_rate,nps_score,delivery_rating,cart_abandonment_count,days_since_last_purchase
C10000,0.094,0.019,2,0.188,5.0,3.6,4,177
C10001,0.244,0.099,0,0.078,6.0,4.6,0,13
C10002,0.272,0.03,2,0.061,4.0,3.4,4,1
C10003,0.149,0.031,2,0.097,3.0,2.1,8,100
C10004,0.237,0.017,2,0.079,6.0,4.6,3,2
C10005,0.161,0.016,2,0.332,,1.8,6,91
C10006,0.036,0.017,5,0.164,,3.0,3,178
C10007,0.315,0.0,1,0.125,5.0,4.8,1,37
C10008,0.073,0.013,4,0.312,5.0,3.5,9,199
C10009,0.0,0.019,3,0.226,5.0,,5,184
C10010,0.253,0.088,1,0.139,9.0,,4,63
C10011,0.131,0.0,3,0.024,,2.8,4,101
C10012,0.188,0.091,0,0.079,9.0,,5,0
C10013,0.105,0.068,0,0.08,,,3,35
C10014,0.023,0.064,0,0.047,8.0,3.7,5,18
C10015,0.239,0.093,0,0.146,6.0,4.3,3,19
C10016,0.03,0.024,1,0.268,,,2,240
C10017,0.191,0.079,1,0.06,,,2,37
C10018,0.155,0.061,3,0.098,8.0,,4,73
C10019,0.006,0.031,5,0.428,4.0,4.4,10,131
C10020,0.0,0.054,0,0.0,7.0,4.6,0,40
C10021,0.312,0.068,0,0.044,5.0,4.7,2,84
C10022,0.101,0.059,5,0.111,7.0,4.0,0,5
C10023,0.279,0.037,2,0.06,7.0,4.0,0,71
C10024,0.153,0.044,1,0.105,9.0,4.5,2,39
C10025,0.296,0.043,0,0.0,6.0,3.8,3,62
C10026,0.186,0.065,0,0.164,8.0,,0,18
C10027,0.215,0.08,1,0.117,5.0,4.3,4,79
C10028,0.177,0.044,1,0.085,7.0,3.8,4,32
C10029,0.3,0.08,0,0.115,6.0,3.9,1,12
C10030,0.112,0.123,0,0.0,7.0,3.5,5,48
C10031,0.131,0.004,0,0.09,,3.7,10,132
C10032,0.298,0.126,0,0.004,6.0,3.7,3,36
C10033,0.178,0.017,0,0.144,5.0,5.0,5,50
C10034,0.121,0.009,1,0.303,4.0,,7,242
C10035,0.117,0.0,2,0.0,7.0,,1,35
C10036,0.263,0.049,5,0.101,4.0,3.8,0,7
C10037,0.239,0.066,4,0.006,8.0,4.0,1,52
C10038,0.008,0.027,2,0.259,,3.0,11,365
C10039,0.234,0.043,1,0.029,8.0,4.9,0,4
C10040,0.188,0.042,0,0.113,6.0,3.4,2,64
C10041,0.261,0.119,1,0.061,,4.5,4,32
C10042,0.039,0.075,0,0.108,6.0,4.1,2,46
C10043,0.124,0.065,1,0.0,6.0,5.0,3,32
C10044,0.233,0.063,4,0.0,7.0,5.0,1,35
C10045,0.107,0.008,0,0.218,3.0,2.6,11,95
C10046,0.208,0.029,1,0.155,4.0,5.0,0,77
C10047,0.199,0.062,2,0.019,5.0,4.5,2,44
C10048,0.225,0.112,0,0.0,6.0,4.5,0,39
C10049,0.124,0.035,0,0.173,,,9,267
C10050,0.088,0.005,3,0.341,,3.8,11,126
C10051,0.368,0.084,2,0.093,8.0,,5,9
C10052,0.0,0.003,3,0.404,6.0,3.6,5,124
C10053,0.246,0.023,0,0.031,6.0,4.7,4,15
C10054,0.221,0.08,2,0.048,10.0,5.0,4,12
C10055,0.123,0.01,1,0.149,7.0,,5,29
C10056,0.07,0.019,2,0.017,,3.6,11,365
C10057,0.031,0.0,1,0.214,5.0,2.3,2,145
C10058,0.0,0.028,3,0.0,7.0,5.0,2,44
C10059,0.286,0.091,2,0.031,7.0,3.5,1,48
C10060,0.193,0.038,0,0.069,,,1,3
C10061,0.135,0.071,0,0.143,7.0,3.9,5,27
C10062,0.246,0.066,3,0.044,6.0,3.6,1,35
C10063,0.127,0.09,0,0.0,,,3,35
C10064,0.09,0.023,2,0.167,0.0,2.7,5,108
C10065,0.341,0.084,2,0.038,6.0,3.7,1,4
C10066,0.032,0.002,3,0.045,5.0,4.5,7,163
C10067,0.145,0.088,0,0.0,7.0,3.8,3,17
C10068,0.127,0.093,0,0.07,8.0,5.0,4,29
C10069,0.264,0.047,0,0.0,6.0,3.7,4,56
C10070,0.022,0.005,2,0.248,,3.6,6,137
C10071,0.299,0.051,2,0.047,9.0,5.0,3,75
C10072,0.191,0.018,0,0.031,9.0,4.7,0,76
C10073,0.231,0.06,0,0.041,,4.5,3,33
C10074,0.291,0.075,0,0.063,8.0,5.0,4,40
C10075,0.174,0.051,1,0.036,8.0,3.2,4,42
C10076,0.282,0.062,2,0.078,6.0,3.5,1,18
C10077,0.154,0.024,3,0.185,,,7,121
C10078,0.212,0.064,0,0.08,7.0,3.9,4,4
C10079,0.083,0.02,0,0.324,,2.3,5,191
C10080,0.179,0.046,0,0.051,8.0,3.8,0,19
C10081,0.255,0.05,0,0.0,6.0,4.4,3,72
C10082,0.206,0.087,3,0.059,8.0,,3,22
C10083,0.131,0.045,1,0.049,8.0,4.4,5,81
C10084,0.199,0.019,0,0.098,7.0,3.5,1,20
